0,星砕きの大剣,星呼び,HP最大時、攻撃力上昇+14%
0,マリカの槌,黄金砕き,聖攻撃力上昇+12%
0,モーゴットの呪剣,呪血の斬撃,致命の一撃強化+24%
0,カーリアの王笏,レナラの満月／彗星アズール,魔術／祈祷、消費FP軽減-20%
1,黄金律の大剣,黄金律掲揚,敵複数撃破で、黄金の衝撃波を発生
1,獅子の大弓,ラダーンの驟雨,射撃攻撃強化+14%
1,巨人の赤髪,炎の舞,炎攻撃力上昇+12%
1,剣接ぎの大剣,復讐の誓い,被ダメージ時、カット率上昇+36%
2,マリケスの黒き剣,運命の死,HP最大時、カット率上昇+40%
2,世界喰らいの王笏,世界喰らい,敵複数撃破で、溶岩を発生
2,マレニアの義手刀,水鳥乱舞,攻撃連続時、一度だけカット率上昇+60%
2,カーリアの王笏,レナラの満月／アデューラの月の剣,魔術強化+11%
3,遺跡の大剣,崩壊波,タメ攻撃強化+22%
3,接がれた飛竜,ご照覧あれい！,致命の一撃強化+24%
3,グランサクスの雷,古雷の槍,雷攻撃力上昇+12%
3,マレー家の執行剣,エオヒドの剣舞,攻撃命中時、HP回復+8
4,冒涜の聖剣,略奪の炎,攻撃命中時、HP回復+8
4,翼の大角,霊障招き,敵撃破時、FP回復+8%
4,落とし子の星々,星雲,戦技の消費FP軽減-24%
4,夜と炎の剣,夜と炎の構え,攻撃命中時、FP回復+3
5,暗月の大剣,月光剣,魔力攻撃力+12%
5,ゴッドフレイの王斧,王の雄叫び,タメ攻撃強化+22%
5,蝕のショーテル,死のフレア,攻撃連続時、一度だけカット率上昇+60%
5,モーグウィンの聖槍,血授の儀,戦技の消費FP軽減-24%
6,神の遺剣,黄金波,聖攻撃力上昇+12%
6,ゴドリックの王斧,地に伏せよ！,タメ攻撃命中時、カット率上昇+40%
6,竜王の岩剣,雷雲の姿,ジャンプ攻撃強化+20%
6,夜と炎の剣,夜と炎の構え,戦技攻撃力上昇+21%
